Country,ISO,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 489 ,8000,,,2000,1548,3380,4453,4128,4624,,,,,,,,,,,,,,,,,,,,
australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.78205,196.09765,554.7633,0,199.1458,1147.12045,680.7535,160.5359,1174.5538,751.877,7890.6443,0,0,0,0,0,0,0,3492.16385,3788.85045,4956.2919,5735.60225,5376.9366,3522.64535,5165.5982,7351.12175,4117.0346,5575.06635,7684.38615,10494.78045,7830.69735,7019.88945,15225.50925,70549.43175,16232.4148,30021.22935,359889.9903,796481.595,1186412.12,1827123.089,4243506.408,4955094.993,7924374.112,9256027.531,12733038.01,14437043.27,17596053.47,19994060.51,0,0,0,0,0,27179056.05,25441468.31,23625113.32,24372364.24,32181999.89,31838993.6,32383870.74,34101823.32,36192109.45,38584116.72,41391 000 ,40 503 000 ,39 746 000 ,41320 000 ,42159 000 ,42 655 000 ,43 063 000,44 465 000,44 653 000 ,48 493 000,53 802 000,53 799 000,54 135 000,55 602 000,56 593 000,59 959 000,61781000,62 428 000,64 038 000,65 843 000,68 584 000,70231216,76 281245,81119 334,78 632 393,,,,,
austria,AUT,0,0,0,0,0,0,0,0,0,0,2733.1745,3048.15,4064.2,5080.25,0,0,0,0,0,0,0,0,3048.15,3048.15,3048.15,5080.25,0,0,0,0,0,19843.4565,8756.3189,0,0,5324.102,6555.5546,3007.508,9019.47585,15179.787,18219.8086,17265.73765,19138.3178,22092.9912,22324.6506,23570.3279,23980.8121,26005.79975,18013.55045,16960.92265,17829.6454,3707.56645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosnia and herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"200,000","75,000","75,000","75,000","75,000","75,000",254 700,90 000,71300,573 000,480 000,1031 600,854 047,866 933,1018 333,555 820,,,,,,,,,,
brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6999.56845,8769.52755,12928.2202,18278.7395,82.30005,14364.9149,12396.82605,76761.56145,2979.0586,19546.7699,4458.4274,6735.39545,14043.8431,16213.10985,18519.54335,0,14319.19265,18821.3102,27618.2711,45070.96195,69754.88065,65027.2,69853.4375,96998.2293,120763.6388,111394.6418,190708.5208,169636.6599,131650.6146,155968.7553,249932.0432,302854.0235,305831.05,320055.75,510001.2173,566001.8291,765002.3339,849002.2356,1000002.506,0,0,0,0,0,4631869.167,4048556.894,3469938.772,4281253.681,0,5304712.718,5418275.61,6376668.837,7727623.142,7893823.52,9 748 948 ,10 364 200 ,9 365 600 ,9 669 000 ,8673 300 ,11616402,12587234,13000000,14000000,14000000,13 974 480,13 388 100,13 147 900,18 456 800,20 948 800,22 364 600,23 236 300,25460 700,28 097 500,26 074 400,32028 000,33 624 600,34 987 800,33 848 700,35 409 900,,,,,
british guiana,GUY,0,0,0,0,2069.69385,4266.39395,0,29870.85395,0,0,135705.6701,188061.7106,197458.141,222515.9661,192984.4728,200891.3739,187385.0213,122010.3322,126968.6562,66151.96735,32961.67805,51816.5179,109514.9493,160480.0173,293334.6511,0,0,0,0,0,0,0,679904.0822,1133877.254,1380739.81,1976182.704,1825241.364,1668390.678,2120576.618,2426264.405,2293983.839,2341450.647,2474368.276,2519871.059,2237243.543,1611332.358,1701290.377,2510852.6,2411711.521,2762636.902,2163217.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500001.2532,500001.2532,550002.0897,600001.9102,600001.9102,0,0,0,0,0,1700005.074,1800005.731,1950006.208,1900005.372,2000006.029,2800008.237,2900008.894,3200009.849,3500010.804,3650011.282,3655 200,5926 000 ,6 660 900,6 468 200 ,6 500 000 ,8255 500 ,8878 800 ,"9,000,000","9,000,000","9,000,000",7 900 000,8 650 000,10 000 000,11 000 000,12 000 000,17 408 200,18 981 600,20 446 000,25176 900,30 000 000,36 837 200,37 173 800,44 052 300,50 339 400,65 000 000,,,,,
croatia,HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2300,4 800,5690,8220,8000,,,,,
dominican republic,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771181.95,688881.9,750860.95,675447.6869,723478.4025,813512.6251,893027.6821,818390.6812,1091613.639,938399.3948,1102862.328,1086003.01,1032003.001,1087002.804,1086003.01,1410004.083,0,0,0,0,0,510463.52,405720.9576,152250.0123,0,0,0,0,186671.7542,167800.6575,150813.3176,85 164 ,6514,,,,,,,,,,,,,,,,,,,8888,,10 522 ,769 530 ,1446 311 ,,,,,
dutch guiana,SUR,0,0,0,0,0,0,0,0,0,0,12612.22865,60025.18585,85500.6075,46453.806,181584.3918,213866.3324,209998.2301,264556.0509,173154.225,126520.5781,106377.3869,101007.5626,115189.5885,233909.9508,392330.4347,377597.7097,49889.07105,615435.7097,1093767.665,1227515.406,1655151.546,625805.516,765596.7232,1020195.484,1739142.304,2200236.97,2128833.04,2045367.581,2715202.608,3223756.97,3276372.103,3421179.549,3061936.782,3482576.402,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
